,Country/Region,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,WHO Region
0,USA,North America,331198130.0,5032179,,162804.0,,2576668.0,,2292707.0,18296.0,15194.0,492.0,63139605.0,190640.0,Americas
1,Brazil,South America,212710692.0,2917562,,98644.0,,2047660.0,,771258.0,8318.0,13716.0,464.0,13206188.0,62085.0,Americas
2,India,Asia,1381344997.0,2025409,,41638.0,,1377384.0,,606387.0,8944.0,1466.0,30.0,22149351.0,16035.0,South-EastAsia
3,Russia,Europe,145940924.0,871894,,14606.0,,676357.0,,180931.0,2300.0,5974.0,100.0,29716907.0,203623.0,Europe
4,South Africa,Africa,59381566.0,538184,,9604.0,,387316.0,,141264.0,539.0,9063.0,162.0,3149807.0,53044.0,Africa
5,Mexico,North America,129066160.0,462690,6590.0,50517.0,819.0,308848.0,4140.0,103325.0,3987.0,3585.0,391.0,1056915.0,8189.0,Americas
6,Peru,South America,33016319.0,455409,,20424.0,,310337.0,,124648.0,1426.0,13793.0,619.0,2493429.0,75521.0,Americas
7,Chile,South America,19132514.0,366671,,9889.0,,340168.0,,16614.0,1358.0,19165.0,517.0,1760615.0,92022.0,Americas
8,Colombia,South America,50936262.0,357710,,11939.0,,192355.0,,153416.0,1493.0,7023.0,234.0,1801835.0,35374.0,Americas
9,Spain,Europe,46756648.0,354530,,28500.0,,,,,617.0,7582.0,610.0,7064329.0,151087.0,Europe
10,Iran,Asia,84097623.0,320117,,17976.0,,277463.0,,24678.0,4156.0,3806.0,214.0,2612763.0,31068.0,EasternMediterranean
11,UK,Europe,67922029.0,308134,,46413.0,,,,,73.0,4537.0,683.0,17515234.0,257873.0,Europe
12,Saudi Arabia,Asia,34865919.0,284226,,3055.0,,247089.0,,34082.0,1915.0,8152.0,88.0,3635705.0,104277.0,EasternMediterranean
13,Pakistan,Asia,221295851.0,281863,,6035.0,,256058.0,,19770.0,809.0,1274.0,27.0,2058872.0,9304.0,EasternMediterranean
14,Bangladesh,Asia,164851401.0,249651,,3306.0,,143824.0,,102521.0,,1514.0,20.0,1225124.0,7432.0,South-EastAsia
15,Italy,Europe,60452568.0,249204,,35187.0,,201323.0,,12694.0,42.0,4122.0,582.0,7099713.0,117443.0,Europe
16,Turkey,Asia,84428331.0,237265,,5798.0,,220546.0,,10921.0,580.0,2810.0,69.0,5081802.0,60191.0,Europe
17,Argentina,South America,45236884.0,228195,,4251.0,,99852.0,,124092.0,1150.0,5044.0,94.0,794544.0,17564.0,Americas
18,Germany,Europe,83811260.0,215210,,9252.0,,196200.0,,9758.0,236.0,2568.0,110.0,8586648.0,102452.0,Europe
19,France,Europe,65288306.0,195633,,30312.0,,82460.0,,82861.0,384.0,2996.0,464.0,3992206.0,61147.0,Europe
