Day,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0
1.0,3178,1944,1256,1308,1429,2126,3664,5380,5292,4617,4607,4729,4930,5794,6933,7910,8633,9511,8604,8001,7315,7803,6268,4050
2.0,2435,1569,1087,1414,1876,2812,4920,6544,6310,4712,4797,4975,5188,5695,6904,8449,10109,11100,11123,9474,8759,8357,6998,5160
3.0,3354,2142,1407,1467,1550,2387,4241,5663,5386,4657,4788,5065,5384,6093,7226,8850,10314,10491,11239,9599,9026,8531,7142,4686
4.0,2897,1688,1199,1424,1696,2581,4592,6029,5704,4744,4743,4975,5193,6175,7158,8515,9492,10357,10259,9097,8358,8649,7706,5130
5.0,2733,1541,1030,1253,1617,2900,4814,6261,6469,5530,5141,5011,5047,5690,6955,8312,9609,10699,10170,9430,9354,9610,8853,6518
6.0,4537,2864,1864,1555,1551,2162,3642,4766,4942,4401,4801,5174,5426,6258,7235,8612,9444,9929,9263,8405,8117,8567,7852,5946
7.0,3645,2296,1507,1597,1763,2422,4102,5575,5376,4639,4905,5166,5364,6214,7276,8474,10393,11013,10573,9472,8691,8525,7194,4801
8.0,2830,1646,1123,1483,1889,3224,5431,7361,7357,5703,5288,5350,5483,6318,7240,8775,9851,10673,9687,8796,8604,8367,6795,4256
9.0,2657,1724,1222,1480,1871,3168,5802,7592,7519,5895,5406,5443,5496,6419,7877,9220,10270,11910,11449,9804,8909,8665,7499,5203
10.0,3296,2126,1464,1434,1591,2594,4664,6046,6158,5072,4976,5415,5506,6527,7612,9578,11045,11875,10934,9613,9687,9240,7766,5496
11.0,3036,1665,1095,1424,1842,2520,4954,6876,6871,5396,5215,5423,5513,6486,7503,8920,10125,10898,10361,9327,8824,8730,7771,5360
12.0,3227,2147,1393,1362,1757,2710,4576,6250,6231,5177,5157,5319,5570,6448,7743,9390,10734,11713,12216,10393,9965,10310,9992,7945
13.0,5408,3509,2262,1832,1705,2327,4196,5685,6060,5631,5442,5720,5914,6678,8200,9264,10534,11826,11450,9921,8705,8423,7363,5936
14.0,3748,2349,1605,1656,1756,2629,4257,5781,5520,4824,4911,5118,5153,5747,6963,8192,9511,10115,9553,9146,9182,8589,6891,4460
15.0,2497,1515,1087,1381,1862,2980,5050,6837,6729,5201,5347,5517,5503,6997,7633,8505,10285,11959,11728,11032,10509,9105,7153,4480
16.0,2547,1585,1119,1395,1818,2966,5558,7517,7495,5958,5626,5480,5525,6198,7597,9290,10804,11773,10855,10924,10142,10374,8094,5380
17.0,3155,2048,1500,1488,1897,2741,4562,6315,5882,4934,5004,5306,5634,6507,7472,8997,10323,11236,11089,9919,9935,9823,8362,5699
18.0,3390,2135,1332,1626,1892,2959,4688,6618,6451,5377,5150,5487,5490,6383,7534,9040,10274,10692,10338,9551,9310,9285,8015,5492
19.0,3217,2188,1604,1675,1810,2639,4733,6159,6014,5006,5092,5240,5590,6367,7374,8898,9893,10741,10429,9701,10051,10049,9090,6666
20.0,4475,3190,2100,1858,1618,2143,3584,4900,5083,4765,5135,5650,5745,6656,7462,8630,9448,10046,9272,8592,8614,8703,7787,5907
21.0,4294,3194,1972,1727,1926,2615,4185,5727,5529,4707,4911,5212,5465,6085,7064,8127,9483,9817,9291,8317,8107,8245,7362,5231
22.0,2787,1637,1175,1468,1934,3151,5204,6872,6850,5198,5277,5352,5512,6342,7337,9148,10574,10962,9884,8980,8772,8430,6784,4530
23.0,2546,1580,1136,1429,1957,3132,5204,6890,6436,5177,5066,5304,5504,6232,7575,9309,9980,10341,10823,11347,11447,10347,8637,5577
24.0,3200,2055,1438,1493,1798,2754,4484,6013,5913,5146,4947,5311,5229,5974,7083,8706,10366,10786,9772,9080,9213,8831,7480,4456
25.0,2405,1499,1072,1439,1943,2973,5356,7627,7078,5994,5432,5504,5694,6204,7298,8732,9922,10504,10673,9048,8751,9508,8522,6605
26.0,3810,3065,2046,1806,1730,2337,3776,5172,5071,4808,5061,5179,5381,6166,7269,8815,9885,10697,10867,10122,9820,10441,9486,7593
27.0,5196,3635,2352,2055,1723,2336,3539,4937,5053,4771,5198,5732,5839,6820,7519,8803,9793,9838,9228,8267,7908,8507,7720,6046
28.0,4123,2646,1843,1802,1883,2793,4290,5715,5671,5206,5247,5500,5486,6120,7341,8584,9671,9975,9132,8255,8309,7949,6411,4461
29.0,2678,1827,1409,1678,1948,3056,5213,6852,6695,5481,5234,5163,5220,6305,7630,9249,10105,11113,10411,9301,9270,9114,6992,4323
30.0,2401,1510,1112,1403,1841,3216,5757,7596,7611,6064,5987,6090,6423,7249,8396,10243,11554,12126,12561,11024,10836,10042,8275,4723
31.0,2174,1394,1087,919,773,997,1561,2169,2410,2525,2564,2777,2954,3280,4104,5099,5386,5308,5350,4898,4819,5064,5164,3961
