,Weekday,Hour,size
0,Friday,0,581
1,Friday,1,333
2,Friday,2,197
3,Friday,3,138
4,Friday,4,161
5,Friday,5,221
6,Friday,6,354
7,Friday,7,547
8,Friday,8,721
9,Friday,9,734
10,Friday,10,548
11,Friday,11,564
12,Friday,12,523
13,Friday,13,551
14,Friday,14,629
15,Friday,15,688
16,Friday,16,760
17,Friday,17,973
18,Friday,18,1109
19,Friday,19,1203
20,Friday,20,1182
21,Friday,21,1013
22,Friday,22,1108
23,Friday,23,1210
24,Monday,0,339
25,Monday,1,178
26,Monday,2,109
27,Monday,3,100
28,Monday,4,139
29,Monday,5,238
30,Monday,6,349
31,Monday,7,512
32,Monday,8,684
33,Monday,9,659
34,Monday,10,545
35,Monday,11,493
36,Monday,12,507
37,Monday,13,444
38,Monday,14,514
39,Monday,15,566
40,Monday,16,617
41,Monday,17,747
42,Monday,18,822
43,Monday,19,835
44,Monday,20,725
45,Monday,21,746
46,Monday,22,638
47,Monday,23,478
48,Saturday,0,1034
49,Saturday,1,679
50,Saturday,2,509
51,Saturday,3,356
52,Saturday,4,247
53,Saturday,5,170
54,Saturday,6,191
55,Saturday,7,231
56,Saturday,8,329
57,Saturday,9,419
58,Saturday,10,500
59,Saturday,11,595
60,Saturday,12,708
61,Saturday,13,676
62,Saturday,14,671
63,Saturday,15,663
64,Saturday,16,880
65,Saturday,17,1005
66,Saturday,18,1082
67,Saturday,19,1189
68,Saturday,20,1128
69,Saturday,21,1129
70,Saturday,22,1199
71,Saturday,23,1291
72,Sunday,0,1115
73,Sunday,1,887
74,Sunday,2,620
75,Sunday,3,436
76,Sunday,4,290
77,Sunday,5,190
78,Sunday,6,172
79,Sunday,7,193
80,Sunday,8,253
81,Sunday,9,338
82,Sunday,10,444
83,Sunday,11,534
84,Sunday,12,606
85,Sunday,13,661
86,Sunday,14,716
87,Sunday,15,701
88,Sunday,16,733
89,Sunday,17,812
90,Sunday,18,743
91,Sunday,19,711
92,Sunday,20,697
93,Sunday,21,615
94,Sunday,22,658
95,Sunday,23,569
96,Thursday,0,483
97,Thursday,1,248
98,Thursday,2,181
99,Thursday,3,112
100,Thursday,4,142
101,Thursday,5,183
102,Thursday,6,354
103,Thursday,7,542
104,Thursday,8,695
105,Thursday,9,700
106,Thursday,10,560
107,Thursday,11,467
108,Thursday,12,527
109,Thursday,13,502
110,Thursday,14,555
111,Thursday,15,688
112,Thursday,16,777
113,Thursday,17,972
114,Thursday,18,1166
115,Thursday,19,1095
116,Thursday,20,1092
117,Thursday,21,1059
118,Thursday,22,1041
119,Thursday,23,943
120,Tuesday,0,342
121,Tuesday,1,178
122,Tuesday,2,94
123,Tuesday,3,62
124,Tuesday,4,102
125,Tuesday,5,179
126,Tuesday,6,328
127,Tuesday,7,549
128,Tuesday,8,689
129,Tuesday,9,702
130,Tuesday,10,505
131,Tuesday,11,482
132,Tuesday,12,443
133,Tuesday,13,487
134,Tuesday,14,513
135,Tuesday,15,599
136,Tuesday,16,696
137,Tuesday,17,849
138,Tuesday,18,1031
139,Tuesday,19,1037
140,Tuesday,20,897
141,Tuesday,21,920
142,Tuesday,22,802
143,Tuesday,23,657
144,Wednesday,0,343
145,Wednesday,1,232
146,Wednesday,2,103
147,Wednesday,3,64
148,Wednesday,4,97
149,Wednesday,5,173
150,Wednesday,6,320
151,Wednesday,7,543
152,Wednesday,8,684
153,Wednesday,9,673
154,Wednesday,10,495
155,Wednesday,11,436
156,Wednesday,12,476
157,Wednesday,13,415
158,Wednesday,14,541
159,Wednesday,15,589
160,Wednesday,16,658
161,Wednesday,17,818
162,Wednesday,18,993
163,Wednesday,19,1044
164,Wednesday,20,897
165,Wednesday,21,949
166,Wednesday,22,900
167,Wednesday,23,669
